problem,numSols,stage,gap,time,iterations
10teams,1,2,7.414829659318637,12.163354227,177
30n20b8,1,2,69.98011928429423,3.201679178,121
50v-10,1,2,56.58977545076059,0.272006505,25
CMS750_4,1,1,49.29577464788751,4.703235407,81
a1c1s1,1,1,36.610488485393994,0.469736357,31
academictimetablesmall,1,3,100.0,980.534144812,1242
aflow30a,1,1,66.10070257611241,0.115090056,35
aflow40b,1,1,77.68437141765381,0.302704727,35
air04,1,1,3.3220817690214584,1.954350761,10
air05,1,1,2.340220691698141,0.59361246,5
app1-1,1,1,0.0,0.491886774,37
app1-2,1,1,43.90243902439025,8.029558622,36
arki001,1,3,3.0713878520021005,31.77108492,1408
assign1-5-8,1,1,4.504504504505401,0.025615042,4
atlanta-ip,1,1,23.735706699470608,12.02462817,16
b1c1s1,1,1,68.62956601895613,0.579580904,33
bab2,1,2,60.060677122533285,401.255504263,315
bab6,1,2,31.68930866453399,97.978160801,116
beasleyC3,1,1,10.131108462455304,0.19351754,36
binkar10_1,1,1,0.9590925637161996,0.054964337,12
blp-ar98,1,1,43.5409536685713,1.779836949,16
blp-ic98,1,1,24.97688448698636,0.461938844,3
bnatt400,0,3,100,148.287770612,699
bppc4-08,1,1,33.75,0.113895731,5
brazil3,1,2,89.56521739130434,59.104979097,42
buildingenergy,1,2,1.3721252975256704,141.866186443,3
cap6000,1,1,0.34984418961261365,0.02807312,1
cbs-cta,1,1,0.0,2.456889656,41
chromaticindex1024-7,1,1,0.0,60.940590479,5
chromaticindex512-7,1,1,0.0,55.08846177,5
cmflsp50-24-8-8,0,3,100,142.636078317,889
co-100,1,1,72.3481083712394,9.80024301,31
cod105,1,1,100.0,1.631042158,1
comp07-2idx,1,2,96.7032967032967,15.107996547,55
comp21-2idx,1,2,77.57575757575758,11.603259431,56
cost266-UUE,1,1,24.242565505251847,0.420636144,34
cryptanalysiskb128n5obj16,0,0,0,3600.0,0
csched007,1,2,38.63636363636363,5.061111718,442
csched008,1,1,8.465608465608465,0.315568975,36
cvs16r128-89,1,1,97.9381443298969,0.869546048,1
dano3_3,1,1,0.01038420532413522,18.863849648,2
dano3_5,1,1,0.3163367627454773,19.131831482,2
dano3mip,1,1,13.375630388807545,23.546260701,5
danoint,1,1,16.83544303797468,0.290258673,32
disctom,1,1,0.0,1.197452594,2
drayage-100-23,1,1,14.095275836335087,0.307267158,13
drayage-25-23,1,1,6.284618884172661,0.168945551,4
ds,1,1,98.27444930018311,5.574542556,1
dws008-01,0,3,100,108.277534805,1442
eil33-2,1,1,81.50567320824024,0.057983167,1
eilA101-2,1,1,82.34424754059708,0.906267385,1
enlight_hard,0,3,100,4.238647642,1360
exp-1-500-5-5,1,1,63.93271220398734,0.036986453,13
fast0507,1,1,12.56281407035176,0.79710915,1
fastxgemm-n2r6s0t2,1,1,92.15017064846417,0.656687654,41
fhnw-binpack4-48,0,3,100,47.808102198,1062
fiball,1,2,10.38961038961039,1.526847699,10
fiber,1,1,56.450110095281865,0.051827323,14
fixnet6,1,1,37.63895412556756,0.089403997,31
gen-ip002,1,2,16.47404906422928,0.005278229,1
gen-ip054,1,2,8.838266839827334,0.008968691,5
germanrr,1,2,3.2211096665458836,6.303443073,39
gesa2-o,1,2,8.13067466422948,0.193525859,37
gesa2,1,2,2.631904917793308,0.177113644,25
gfd-schedulen180f7d50m30k18,0,0,0,3600.0,0
glass-sc,1,1,8.0,0.475102325,1
glass4,1,1,65.55016908015511,0.131506009,58
