problem,numSols,stage,gap,time,iterations
10teams,1,3,0.8583690987126036,51.251334240999995,705
30n20b8,1,3,59.8937583001328,22.437769066,906
50v-10,1,2,60.008164692787865,0.277002387,25
CMS750_4,1,1,30.386740331491364,6.122561926,97
a1c1s1,1,1,18.36257469723463,0.548008827,32
academictimetablesmall,1,3,100.0,696.98094602,702
aflow30a,1,1,54.301499605367006,0.104375098,31
aflow40b,1,1,65.51520519633894,0.273640426,31
air04,1,1,1.1689935036354995,3.801257143,25
air05,1,1,3.008237716975581,1.728862196,20
app1-1,1,1,66.66666666666667,1.169242669,84
app1-2,1,1,43.90243902439025,19.068446839,84
arki001,1,2,3.049527872990009,21.615236656,1166
assign1-5-8,1,1,1.3953488372102276,0.088866178,24
atlanta-ip,1,1,8.173175869795285,17.386375999,29
b1c1s1,1,1,64.93767159942054,0.57475126,35
bab2,1,3,16.12641494926948,797.484677664,766
bab6,1,3,24.777687138651814,492.174342145,795
beasleyC3,1,1,9.375,0.201920379,36
binkar10_1,1,1,0.9590925637161996,0.055451187,12
blp-ar98,1,1,43.628725173400134,2.173240139,20
blp-ic98,1,1,24.97688448698636,0.472078615,3
bnatt400,0,3,100,154.839543398,1216
bppc4-08,1,1,26.38888888888889,1.01359187,64
brazil3,1,2,85.79881656804734,18.02905399,28
buildingenergy,1,2,1.3721252975258615,784.581259532,12
cap6000,1,1,0.34984418961261365,0.028932393,1
cbs-cta,1,1,0.0,2.578080188,41
chromaticindex1024-7,1,1,0.0,55.559727761,2
chromaticindex512-7,1,1,0.0,41.771473897,2
cmflsp50-24-8-8,1,1,11.062244236551608,12.318875659,89
co-100,1,1,85.46715249801689,4.610608621,14
cod105,1,1,100.0,1.655303239,1
comp07-2idx,1,2,97.66536964980544,6.382445586,27
comp21-2idx,1,2,80.26666666666667,3.662232384,24
cost266-UUE,1,1,23.508207310756525,0.37492228,26
cryptanalysiskb128n5obj16,0,0,0,3600.0,0
csched007,1,2,30.0796812749004,17.545801023,2067
csched008,1,2,8.947368421052632,5.3736829,734
cvs16r128-89,1,1,97.9381443298969,0.867322391,1
dano3_3,1,1,0.008978566906538749,15.925428083,18
dano3_5,1,1,0.14192522194030502,102.571116016,48
dano3mip,1,1,11.066997518610407,147.444128371,71
danoint,1,2,86.69205371792015,5.870909072,413
disctom,1,1,0.0,1.181373073,2
drayage-100-23,1,1,17.879891402127083,0.479882438,21
drayage-25-23,1,1,20.328144156016812,0.478865165,19
ds,1,1,98.27444930018311,5.599268616,1
dws008-01,0,3,100,117.75859239699999,1699
eil33-2,1,1,81.50567320824024,0.058847728,1
eilA101-2,1,1,82.34424754059708,0.916864708,1
enlight_hard,1,3,0.0,2.010126728,723
exp-1-500-5-5,1,1,37.32091554253315,0.071212267,25
fast0507,1,1,12.56281407035176,0.805302798,1
fastxgemm-n2r6s0t2,1,1,92.14212504270584,0.350222259,24
fhnw-binpack4-48,0,3,100,83.11970243100001,973
fiball,1,2,8.0,6.552397816,55
fiber,1,1,61.61897564246381,0.059615222,16
fixnet6,1,1,37.63895412556756,0.092055241,31
gen-ip002,1,2,16.47404906422928,0.00513012,1
gen-ip054,1,2,9.725104562288044,0.018268727,10
germanrr,1,2,5.330506227713926,13.815355565,90
gesa2-o,1,2,2.007871270784011,0.178380481,34
gesa2,1,2,2.631904917793308,0.177220651,25
gfd-schedulen180f7d50m30k18,0,3,100,3600.253174143,622
glass-sc,1,1,8.0,0.480159461,1
glass4,1,2,89.99999269704105,0.472259585,203
gmu-35-40,1,1,6.895152435715877,0.120196382,18
gmu-35-50,1,1,16.202309747027293,0.571560029,67
graph20-20-1rand,1,1,22.22222222222222,3.652255738,48
graphdraw-domain,1,2,78.38461031688517,0.648050749,159
h80x6320d,1,1,16.131819004705598,1.158018862,33
harp2,1,1,11.01556287322395,0.044752167,12
highschool1-aigio,1,2,100.0,943.236485807,18
hypothyroid-k1,1,1,0.0,5.004334974,1
ic97p,1,2,12.322064056939501,4.671543604,923
ic97t,1,3,1.769249937702467,5.000011388,1701
icir97p,1,3,12.408253704473065,15.576719308,1035
icir97t,1,2,13.300693594451245,2.244085634,151
irish-electricity,1,1,5.4841253745880785,20.685542499,19
irp,1,1,0.3027898959438825,0.22419588,2
istanbul-no-cutoff,1,1,21.7972026199074,5.705278151,22
k1mushroom,1,1,18.248175182481752,40.497060196,1
lectsched-5-obj,1,3,82.85714285714286,90.128551397,881
leo1,1,1,26.858280288117875,0.104186498,1
leo2,1,1,22.98922218145535,0.228295534,1
liu,1,1,69.61883408071749,1.020718462,90
lotsize,1,1,44.35562148462199,0.481746971,47
mad,1,1,98.40968431046761,0.126338753,15
manna81,1,2,56.73047705864479,0.066589434,2
map10,1,1,35.69444444444444,44.834650713,61
map16715-04,1,1,100.0,42.475234643,43
markshare1,1,1,99.87819732034104,0.002271773,1
markshare2,1,1,99.89949748743719,0.002440304,1
markshare_4_0,1,1,98.66666666666667,0.002078951,1
mas74,1,2,92.4997748825023,0.154120942,90
mas76,1,2,8.198975866057388,0.155754454,90
mc11,1,1,53.27577247471719,0.410846291,44
mcsched,1,1,10.103889602979667,0.525661356,4
mik-250-20-75-4,1,2,62.4749048775358,0.033030991,9
milo-v12-6-r2-40-1,1,1,55.931516434171606,0.845867122,44
misc07,1,1,34.345794392523366,0.117404396,23
mkc,1,2,90.83114579638173,0.03414065,2
mod011,1,1,1.9068557312597594,0.372639064,27
modglob,1,1,49.51539369335731,0.062250983,32
momentum1,1,3,26.17139646016189,140.071290054,1557
msc98-ip,1,1,8.581443421612148,5.566954459,31
mushroom-best,1,2,99.82730583083784,8.121559111,33
mzzv11,1,2,21.871258863615434,3.793225233,23
