problem,numSols,stage,gap,time,iterations
10teams,1,3,0.8583690987126036,46.173326448,705
30n20b8,1,3,85.82159624413146,22.462708878,906
50v-10,1,2,60.008164692787865,0.275732252,25
CMS750_4,1,1,30.386740331491364,5.856830312,97
a1c1s1,1,1,18.36257469723463,0.544991214,32
academictimetablesmall,1,3,100.0,436.75432468,702
aflow30a,1,1,54.301499605367006,0.103420563,31
aflow40b,1,1,65.51520519633894,0.274003484,31
air04,1,1,1.1689935036354995,3.803326175,25
air05,1,1,3.008237716975581,1.716655119,20
app1-1,1,1,66.66666666666667,1.167829861,84
app1-2,1,1,43.90243902439025,18.792940778,84
arki001,1,2,3.049527872990009,21.622138702,1166
assign1-5-8,1,1,1.3953488372102276,0.089446869,24
atlanta-ip,1,1,8.173175869795285,15.975192303,29
b1c1s1,1,1,64.93767159942054,0.575217762,35
bab2,1,3,16.12641494926948,797.445058834,766
bab6,1,3,24.777687138651814,492.152058071,795
beasleyC3,1,1,9.375,0.202815052,36
binkar10_1,1,1,0.9590925637161996,0.055823986,12
blp-ar98,1,1,43.628725173400134,2.151115192,20
blp-ic98,1,1,24.97688448698636,0.453674397,3
bnatt400,0,3,100,141.95181059,1216
bppc4-08,1,1,26.38888888888889,1.010768506,64
brazil3,1,2,85.79881656804734,18.059359626,28
buildingenergy,1,2,1.3721252975258615,669.997006866,12
cap6000,1,1,0.34984418961261365,0.028557376,1
cbs-cta,1,1,0.0,2.583753598,41
chromaticindex1024-7,1,1,0.0,55.861511123,2
chromaticindex512-7,1,1,0.0,40.538351228,2
cmflsp50-24-8-8,1,1,11.062244236551608,11.392206776,89
co-100,1,1,85.46715249801689,5.280649509,14
cod105,1,1,100.0,1.64355362,1
comp07-2idx,1,2,97.66536964980544,5.601121502,27
comp21-2idx,1,2,80.26666666666667,3.590779408,24
cost266-UUE,1,1,23.508207310756525,0.355830484,26
cryptanalysiskb128n5obj16,0,0,0,3600.0,0
csched007,1,2,30.0796812749004,17.549582464,2067
csched008,1,2,8.947368421052632,5.340595254,734
cvs16r128-89,1,1,97.9381443298969,0.870170702,1
dano3_3,1,1,0.008978566906538749,15.977247417,18
dano3_5,1,1,0.14192522194030502,93.770917277,48
dano3mip,1,1,11.066997518610407,147.423805795,71
danoint,1,2,86.69205371792015,5.873200694,413
disctom,1,1,0.0,1.171926235,2
drayage-100-23,1,1,17.879891402127083,0.469333923,21
drayage-25-23,1,1,20.328144156016812,0.471732995,19
ds,1,1,98.27444930018311,5.413163277,1
dws008-01,0,3,100,112.735344969,1699
eil33-2,1,1,81.50567320824024,0.058438186,1
eilA101-2,1,1,82.34424754059708,0.912226749,1
enlight_hard,1,3,0.0,1.850864381,723
exp-1-500-5-5,1,1,37.32091554253315,0.069960303,25
fast0507,1,1,12.56281407035176,0.800119932,1
fastxgemm-n2r6s0t2,1,1,92.14212504270584,0.348376509,24
fhnw-binpack4-48,0,3,100,49.545323785,973
fiball,1,2,8.0,6.454280626,55
fiber,1,1,61.61897564246381,0.058964846,16
fixnet6,1,1,37.63895412556756,0.09126368,31
gen-ip002,1,2,16.47404906422928,0.005104223,1
gen-ip054,1,2,9.725104562288044,0.017977447,10
germanrr,1,2,5.330506227713926,13.791563121,90
gesa2-o,1,2,2.007871270784011,0.176597351,34
gesa2,1,2,2.631904917793308,0.176233669,25
gfd-schedulen180f7d50m30k18,0,3,100,3600.253174143,622
glass-sc,1,1,8.0,0.481080396,1
glass4,1,2,89.99999269704105,0.467991742,203
gmu-35-40,1,1,6.895152435715877,0.119753228,18
gmu-35-50,1,1,16.202309747027293,0.570849496,67
graph20-20-1rand,1,1,22.22222222222222,3.656158834,48
graphdraw-domain,1,2,78.38461031688517,0.641823335,159
h80x6320d,1,1,16.131819004705598,1.147226845,33
harp2,1,1,11.01556287322395,0.044399759,12
highschool1-aigio,1,2,100.0,754.798892751,18
hypothyroid-k1,1,1,0.0,5.043163877,1
ic97p,1,2,12.322064056939501,4.673388712,923
ic97t,1,3,12.826183104820876,4.950622907,1701
icir97p,1,3,16.972958781832503,19.264452648,1035
icir97t,1,2,13.300693594451245,2.238630228,151
irish-electricity,1,1,5.4841253745880785,20.660856718,19
irp,1,1,0.3027898959438825,0.213161936,2
istanbul-no-cutoff,1,1,21.7972026199074,5.491143603,22
k1mushroom,1,1,18.248175182481752,40.418659383,1
lectsched-5-obj,1,3,95.82608695652173,83.886954966,881
leo1,1,1,26.858280288117875,0.103611105,1
leo2,1,1,22.98922218145535,0.228188615,1
liu,1,1,69.61883408071749,1.023973217,90
lotsize,1,1,44.35562148462199,0.478640187,47
mad,1,1,98.40968431046761,0.12746581,15
manna81,1,2,56.73047705864479,0.066466118,2
map10,1,1,35.69444444444444,44.82662779,61
map16715-04,1,1,100.0,48.093672971,43
markshare1,1,1,99.87819732034104,0.002292095,1
markshare2,1,1,99.89949748743719,0.002525209,1
markshare_4_0,1,1,98.66666666666667,0.002076788,1
mas74,1,2,92.4997748825023,0.151973425,90
mas76,1,2,8.198975866057388,0.153550844,90
mc11,1,1,53.27577247471719,0.406505915,44
mcsched,1,1,10.103889602979667,0.525459156,4
mik-250-20-75-4,1,2,62.4749048775358,0.033097283,9
milo-v12-6-r2-40-1,1,1,55.931516434171606,0.849081035,44
misc07,1,1,34.345794392523366,0.117176832,23
mkc,1,2,90.83114579638173,0.033525074,2
mod011,1,1,1.9068557312597594,0.375134533,27
modglob,1,1,49.51539369335731,0.061848544,32
momentum1,1,3,67.27342446929195,93.134574343,1557
msc98-ip,1,1,8.581443421612148,5.57944769,31
mushroom-best,1,2,99.82730583083784,8.108808716,33
mzzv11,1,2,21.871258863615434,3.796418032,23
mzzv42z,1,2,16.874391431353455,3.393601517,21
n2seq36q,1,1,22.551928783382788,0.345043557,1
n3div36,1,1,23.329425556858148,0.347677219,1
n5-3,1,2,0.42997542997543,0.298627317,25
neos-1122047,1,1,100.0,0.063836479,0
neos-1171448,1,1,57.28155339805825,4.374175791,32
neos-1171737,1,1,4.102564102564088,1.41011851,33
neos-1354092,1,2,11.538461538461538,141.986955866,40
neos-1445765,1,1,39.318450205252205,0.554164643,5
neos-1456979,1,3,51.38121546961326,84.10475985,1275
neos-1582420,1,3,50.0,9.484817993,710
neos-2657525-crna,1,2,91.91746424521261,0.307566592,103
neos-2746589-doon,1,3,6.997638123466002,552.78550298,697
neos-2978193-inde,1,1,1.674998929801807e-07,0.137338273,2
neos-2987310-joes,1,2,20.410670435948703,15.66951315,91
neos-3004026-krka,0,3,100,66.429046293,984
neos-3024952-loue,1,3,90.17071566859045,82.554327858,1319
neos-3046615-murg,1,2,97.36993507027205,0.10796858,90
neos-3083819-nubu,1,2,0.7983473510012407,0.039334041,1
neos-3216931-puriri,1,3,57.03614457831324,207.343572075,1243
neos-3381206-awhea,1,3,4.631578947368421,33.427476421,1585
neos-3402294-bobin,1,1,81.38408304498284,15.482197083,26
neos-3555904-turama,1,2,4.322766570605207,126.86941594,94
neos-3627168-kasai,1,1,1.2456574079112241,0.131188747,25
neos-3656078-kumeu,1,3,45.66055784151408,191.873599371,1261
neos-3754480-nidda,1,1,99.95714428043898,0.172751751,68
neos-4300652-rahue,1,3,82.360886897506,634.431074123,733
neos-4338804-snowy,1,2,99.77859989644917,0.747211866,108
neos-4387871-tavua,1,3,88.38640803670545,18.801579267,775
neos-4413714-turia,1,1,1.0846828864095701,70.467304805,72
neos-4532248-waihi,1,2,90.47029702970296,744.777553146,885
neos-4647030-tutaki,1,1,27.317227854084468,19.466476537,26
neos-4722843-widden,1,2,25.518875192760675,61.660827752,107
neos-4738912-atrato,1,2,7.944762735555691,0.463046083,26
neos-4763324-toguru,1,1,33.812293128849134,22.401654791,23
neos-4954672-berkel,1,1,20.776554777282513,0.087634948,33
neos-5049753-cuanza,1,2,33.72641542819575,435.131858191,208
neos-5052403-cygnet,1,1,0.0,37.239606989,2
neos-5093327-huahum,1,1,90.66424076117755,9.127678714,101
neos-5104907-jarama,1,3,37.87375415282392,1766.983819282,774
neos-5107597-kakapo,1,1,99.76809436555199,1.463051014,119
neos-5114902-kasavu,1,2,30.90717299578059,2309.463203167,131
neos-5188808-nattai,1,1,97.61744020838889,4.13742364,26
neos-5195221-niemur,1,1,89.58595726523079,4.073075359,10
neos-631710,1,1,59.801980198019805,2.779205216,1
neos-662469,1,2,75.88957692994208,7.996120782,28
neos-787933,1,2,0.0,0.028914106,1
neos-827175,1,1,0.0,0.413378503,0
neos-848589,1,1,61.98364438751751,61.381017318,48
neos-860300,1,1,39.34053439454235,0.51171547,6
neos-873061,1,1,35.88420939293802,25.169804128,32
neos-911970,1,1,46.81429681429682,0.194550906,52
neos-933966,1,1,76.87272727272727,1.302586938,15
neos-950242,1,1,60.0,10.781929157,28
neos-957323,1,1,10.917014284202159,1.661338275,1
neos-960392,1,3,100.0,217.174191188,1042
neos10,1,2,64.49339207048457,0.073186736,2
neos16,0,3,100,9.074538146,1343
neos17,1,1,77.58914024107146,0.163410934,33
neos20,1,2,76.036866359447,7.222935495,957
neos5,1,1,21.05263157894737,0.018940627,7
neos7,1,2,13.430319864512263,0.171187561,26
neos8,1,2,100.0,0.078060532,2
net12,1,1,16.07843137254902,3.123745398,22
