problem,numSols,stage,gap,time,iterations
10teams,1,1,1.0706638115631693,1.121227823,29
30n20b8,1,3,64.67836257309942,26.207059218,1034
50v-10,1,2,59.76206109089732,0.234821274,21
CMS750_4,1,1,47.28033472803347,5.363158852,92
a1c1s1,1,1,18.564896195533166,0.533658756,31
academictimetablesmall,1,3,100.0,576.924335923,1103
aflow30a,1,1,64.70588235294117,0.114696151,34
aflow40b,1,1,82.91148500365765,0.541325568,62
air04,1,1,3.9522986637466424,3.434724008,26
air05,1,1,3.317570292166135,0.778676928,5
app1-1,1,1,33.333333333333336,0.911139461,66
app1-2,1,1,43.90243902439025,8.091300684,36
arki001,1,3,2.5092067902819455,30.398912381,1624
assign1-5-8,1,1,4.93273542600986,0.026553187,5
atlanta-ip,1,1,18.92666321020546,15.861069667,33
b1c1s1,1,1,63.87949430139738,0.673965469,34
bab2,1,3,19.247247931673176,823.731121655,782
bab6,1,2,11.605489265055635,89.772943599,114
beasleyC3,1,1,9.047044632086852,0.203098547,36
binkar10_1,1,1,0.9590925637161996,0.056053912,12
blp-ar98,1,1,40.09434327472641,1.844175948,17
blp-ic98,1,1,24.97688448698636,0.468256186,3
bnatt400,0,3,100,103.824821482,1095
bppc4-08,1,1,33.75,0.114510928,5
brazil3,1,2,63.63636363636363,42.011211281,38
buildingenergy,1,2,0.8997357541237616,222.718670706,4
cap6000,1,1,0.34984418961261365,0.028356828,1
cbs-cta,1,1,0.0,2.447664701,40
chromaticindex1024-7,1,1,0.0,61.506932989,7
chromaticindex512-7,1,1,0.0,71.226665796,6
cmflsp50-24-8-8,1,1,12.647350901749833,15.2621018,114
co-100,1,1,75.13741578768438,5.942575063,18
cod105,1,1,100.0,1.65544275,1
comp07-2idx,1,2,96.7741935483871,14.744141227,51
comp21-2idx,1,2,76.8025078369906,12.570866081,60
cost266-UUE,1,1,24.669526041170148,0.44679198,34
cryptanalysiskb128n5obj16,0,0,0,3600.0,0
csched007,1,3,52.049180327868854,12.80119218,1297
csched008,1,2,8.465608465608465,0.850355766,119
cvs16r128-89,1,1,97.9381443298969,0.86659736,1
dano3_3,1,1,0.009636468141351467,18.520729847,2
dano3_5,1,1,0.3163367627454773,19.175322464,2
dano3mip,1,1,13.375630388807545,23.788353911,5
danoint,1,1,14.675324675324672,0.384050749,36
disctom,1,1,0.0,1.195671137,2
drayage-100-23,1,1,19.760526676793454,0.405581052,17
drayage-25-23,1,1,6.284618884172661,0.204675657,5
ds,1,1,98.27444930018311,5.433287523,1
dws008-01,1,3,34.62226220777233,64.432131747,1046
eil33-2,1,1,81.50567320824024,0.058270051,1
eilA101-2,1,1,82.34424754059708,0.915057362,1
enlight_hard,0,3,100,4.242865334,1208
exp-1-500-5-5,1,1,57.90156350834148,0.069821348,25
fast0507,1,1,12.56281407035176,0.800376114,1
fastxgemm-n2r6s0t2,1,1,90.11602922217448,0.635754881,44
fhnw-binpack4-48,0,3,100,49.103352432,973
fiball,1,2,12.101910828025478,1.091046578,7
fiber,1,1,56.450110095281865,0.056326954,15
fixnet6,1,1,37.63895412556756,0.092452593,31
gen-ip002,1,2,16.47404906422928,0.005091586,1
gen-ip054,1,2,10.460312412264733,0.011447224,6
germanrr,1,2,10.018707179329613,17.083652,111
gesa2-o,1,2,7.456369969667524,0.177627543,34
gesa2,1,2,2.631904917793308,0.181807774,25
gfd-schedulen180f7d50m30k18,0,0,0,3600.0,0
glass-sc,1,1,8.0,0.483416897,1
glass4,1,1,58.62062901362753,0.101869291,43
gmu-35-40,1,1,7.605918589613913,0.031311726,3
gmu-35-50,1,1,14.514777527139412,0.055124315,4
graph20-20-1rand,1,1,11.11111111111111,2.297691207,29
graphdraw-domain,1,2,38.60021208907741,0.056793298,11
h80x6320d,1,1,16.131819004705598,1.162512429,33
harp2,1,1,12.025814608848432,0.047962924,13
highschool1-aigio,1,2,100.0,1517.633310268,57
hypothyroid-k1,1,1,0.0,5.03268943,1
ic97p,1,3,11.415730337078651,3.696478451,746
ic97t,1,3,10.551395507147719,3.809505616,1430
icir97p,1,3,17.76101937329346,14.035058052,823
icir97t,1,3,13.300693594451245,35.677771814,2031
irish-electricity,1,1,6.992675091569609,9.99840795,7
irp,1,1,1.587511635709429,0.223920116,2
istanbul-no-cutoff,1,1,9.29544386259073,3.976259395,15
k1mushroom,1,1,18.248175182481752,40.35365258,1
lectsched-5-obj,1,3,95.2191235059761,77.961550152,765
leo1,1,1,26.858280288117875,0.10370632,1
leo2,1,1,22.98922218145535,0.226228497,1
liu,1,1,80.50359712230215,0.171172816,13
lotsize,1,1,82.85604916422668,0.507765438,49
mad,1,1,98.4096843104676,0.109929332,13
manna81,1,2,56.73047705864479,0.065972311,2
map10,1,1,44.24242424242424,10.920186165,7
map16715-04,1,1,80.18018018018019,18.631501742,9
markshare1,1,1,99.87819732034104,0.002294625,1
markshare2,1,1,99.89949748743719,0.002487723,1
markshare_4_0,1,1,98.66666666666667,0.002060784,1
mas74,1,2,26.000159399238388,0.019194393,9
mas76,1,2,10.856954899233902,0.011483601,5
mc11,1,1,55.986896603659915,0.415981839,44
mcsched,1,1,44.437831346782104,0.47915437,5
mik-250-20-75-4,1,2,60.5724555935833,0.023898189,6
milo-v12-6-r2-40-1,1,1,58.61300028488744,0.843532961,44
misc07,1,1,41.821946169772254,0.175691062,35
mkc,1,2,90.83114579638173,0.03347633,2
mod011,1,1,16.819869761812928,0.152825508,8
modglob,1,1,36.98966582251562,0.017546482,7
momentum1,1,3,63.00809614789584,89.59738402,1325
msc98-ip,1,1,11.187184403378286,5.216302191,31
mushroom-best,1,2,99.99871728514584,24.107959134,70
mzzv11,1,2,26.374435951745127,2.664845919,18
mzzv42z,1,2,33.72930866601752,1.666999152,7
n2seq36q,1,1,22.551928783382788,0.344160807,1
n3div36,1,1,23.329425556858148,0.344985475,1
n5-3,1,2,3.0845157310302285,0.302537461,25
neos-1122047,1,1,100.0,0.064308299,0
neos-1171448,1,1,19.41747572815532,0.8923098,4
neos-1171737,1,1,19.487179487179485,0.355910729,4
neos-1354092,1,2,9.803921568627452,82.355417653,23
neos-1445765,1,1,39.318450205252205,0.552521023,5
neos-1456979,1,2,54.166666666666664,24.397232578,379
neos-1582420,1,2,54.5,10.31791845,779
neos-2657525-crna,1,2,90.58976104899301,1.417417576,433
neos-2746589-doon,1,3,8.426812585499352,418.906490357,715
neos-2978193-inde,1,1,1.674998929801807e-07,0.164393156,3
