problem,numSols,stage,gap,time,iterations
10teams,1,1,1.0706638115631693,4.121354443,86
30n20b8,1,2,77.71217712177122,7.355589764,292
50v-10,1,2,56.445195185817234,0.149894697,13
CMS750_4,1,1,34.20365535248042,5.841224972,99
a1c1s1,1,1,63.89210957141538,0.423389197,32
academictimetablesmall,0,3,100,1002.6600566540001,1161
aflow30a,1,1,32.280701754385966,0.121969741,36
aflow40b,1,1,58.88771559310102,0.283076467,32
air04,1,1,4.836412951347686,3.366531315,29
air05,1,1,1.9699672911091288,0.788047005,5
app1-1,1,1,66.66666666666667,0.40390256,31
app1-2,1,1,43.90243902439025,9.389341888,38
arki001,1,2,3.1191050213283353,23.471606869,1155
assign1-5-8,1,1,4.072398190046149,0.029300196,5
atlanta-ip,1,1,11.773883806672501,14.66445597,33
b1c1s1,1,1,76.8618053739501,0.655631929,36
bab2,1,3,20.08253100119559,908.68501291,740
bab6,1,3,20.25829042389858,463.07536520900004,783
beasleyC3,1,1,10.131108462455304,0.193708256,35
binkar10_1,1,1,3.8714087630304066,0.083934731,20
blp-ar98,1,1,43.5750810882577,1.463069346,13
blp-ic98,1,1,33.922915251853205,0.226990236,1
bnatt400,0,3,100,179.930820858,1383
bppc4-08,1,1,33.75,0.124026681,6
brazil3,1,2,68.42105263157895,40.462332374,39
buildingenergy,1,2,0.7167528724975728,157.239595006,4
cap6000,1,1,0.34984418961261365,0.0283757,1
cbs-cta,1,1,0.0,2.382311613,40
chromaticindex1024-7,1,1,0.0,61.773955571,6
chromaticindex512-7,1,1,0.0,64.720365572,9
cmflsp50-24-8-8,1,1,12.29867294912562,10.903165738,102
co-100,1,1,85.47836105504916,6.865922056,21
cod105,1,1,100.0,1.652533995,1
comp07-2idx,1,2,96.72131147540983,14.627930298,55
comp21-2idx,1,2,82.71028037383178,13.765812784,66
cost266-UUE,1,1,27.182249624093526,0.193475872,13
cryptanalysiskb128n5obj16,0,0,0,3600.0,0
csched007,1,3,29.37625754527163,7.724594527000001,878
csched008,1,3,7.4866310160427805,6.115648147,835
cvs16r128-89,1,1,97.9381443298969,0.874379679,1
dano3_3,1,1,0.010232924568698154,17.016397498,2
dano3_5,1,1,0.3159544303109641,19.181118356,2
dano3mip,1,1,13.375630388807545,23.996645482,5
danoint,1,2,86.69205371792015,3.254914173,170
disctom,1,1,0.0,1.166827542,2
drayage-100-23,1,1,13.731605844805491,0.319027353,14
drayage-25-23,1,1,6.284618884172661,0.205473294,5
ds,1,1,97.45787653844357,5.419125194,1
dws008-01,0,3,100,109.930580385,1506
