problem,numSols,stage 1/2/3,gap,time,iterations,restarts
10teams,3,2/1/0,6.3,2.6,32.7,0.6
30n20b8,3,0/3/0,843.9,3.9,125.0,22.4
50v-10,3,0/3/0,134.5,0.3,19.1,0.3
CMS750_4,3,3/0/0,62.8,4.2,64.9,15.9
a1c1s1,3,3/0/0,82.6,0.6,32.0,2.0
academictimetablesmall,2,0/0/2,inf,560.6,795.5,0.0
aflow30a,3,3/0/0,122.9,0.1,32.3,1.5
aflow40b,3,3/0/0,382.5,0.3,24.5,1.2
air04,3,3/0/0,4.3,2.5,13.4,0.0
air05,3,3/0/0,14.5,1.5,13.9,0.0
app1-1,3,3/0/0,3.1,0.5,34.2,3.4
app1-2,3,3/0/0,43.9,12.5,61.7,23.1
arki001,3,0/0/3,2.8,34.1,1269.1,287.8
assign1-5-8,3,3/0/0,1.7,0.1,21.0,0.0
atlanta-ip,3,3/0/0,14.7,14.7,17.0,0.0
b1c1s1,3,3/0/0,195.4,0.6,34.0,4.0
bab2,3,2/1/0,40.2,249.9,149.6,23.3
bab6,3,1/0/2,17.8,306.2,400.1,142.2
beasleyC3,3,3/0/0,11.3,0.2,35.0,4.8
binkar10_1,3,3/0/0,3.9,0.1,9.3,0.0
blp-ar98,3,3/0/0,68.0,1.9,15.3,0.0
blp-ic98,3,3/0/0,36.9,0.4,2.7,0.0
bnatt400,3,0/0/3,0.0,254.6,924.2,0.0
bppc4-08,3,3/0/0,28.2,0.6,27.2,0.0
brazil3,3,0/3/0,978.5,39.3,32.0,0.0
buildingenergy,3,0/3/0,0.9,122.7,4.0,0.0
cap6000,3,3/0/0,0.3,0.1,1.0,0.0
cbs-cta,3,3/0/0,inf,2.5,30.0,0.0
chromaticindex1024-7,3,3/0/0,0.0,60.0,6.0,0.0
chromaticindex512-7,3,3/0/0,0.0,71.0,6.3,0.0
cmflsp50-24-8-8,3,1/0/2,18.4,47.3,301.7,62.7
co-100,3,3/0/0,302.2,6.1,15.5,0.0
cod105,3,3/0/0,100.0,1.8,1.0,0.0
comp07-2idx,3,0/3/0,3531.5,5.8,21.7,0.0
comp21-2idx,3,0/3/0,378.5,4.3,23.3,0.0
cost266-UUE,3,3/0/0,37.0,0.4,23.6,0.3
cryptanalysiskb128n5obj16,0,0/0/0,-,-,-,-
csched007,3,0/0/3,61.4,10.3,844.6,147.9
csched008,3,2/1/0,9.4,1.5,131.6,20.2
cvs16r128-89,3,3/0/0,97.9,1.0,1.0,0.0
dano3_3,3,3/0/0,0.0,18.1,4.0,0.0
dano3_5,3,3/0/0,0.3,21.1,13.0,0.0
dano3mip,3,3/0/0,14.7,240.9,62.0,14.3
danoint,3,3/0/0,19.3,0.9,32.9,1.4
disctom,3,3/0/0,0.0,1.3,2.0,0.0
drayage-100-23,3,3/0/0,19.2,0.3,13.0,0.0
drayage-25-23,3,3/0/0,6.7,0.2,4.0,0.0
ds,3,3/0/0,4945.0,6.1,1.0,0.0
dws008-01,3,0/0/3,60.0,59.7,755.5,220.5
eil33-2,3,3/0/0,222.3,0.1,1.0,0.0
eilA101-2,3,3/0/0,331.4,1.0,1.0,0.0
enlight_hard,1,0/0/1,0.0,4.3,1032.0,528.0
exp-1-500-5-5,3,3/0/0,145.0,0.1,15.5,0.0
fast0507,3,3/0/0,25.0,0.9,1.0,0.0
fastxgemm-n2r6s0t2,3,3/0/0,719.4,0.2,10.1,0.0
fhnw-binpack4-48,0,0/0/0,-,-,-,-
fiball,3,0/3/0,11.1,6.9,38.0,2.5
fiber,3,3/0/0,160.5,0.1,4.0,0.0
fixnet6,3,3/0/0,60.6,0.1,31.0,1.0
