problem,numSols,stage 1/2/3,gap,time,iterations,restarts
10teams,3,3/0/0,9.3,3.4,46.5,0.3
30n20b8,3,0/3/0,348.3,6.1,202.8,44.3
50v-10,3,0/3/0,152.2,0.3,23.3,0.6
CMS750_4,3,3/0/0,80.4,3.7,60.8,12.4
a1c1s1,3,3/0/0,58.4,0.5,31.0,1.0
academictimetablesmall,1,0/0/1,inf,767.5,1301.0,0.0
aflow30a,3,3/0/0,70.9,0.1,32.0,1.5
aflow40b,3,3/0/0,234.4,0.4,41.4,6.1
air04,3,3/0/0,1.0,2.6,6.6,0.0
air05,3,3/0/0,5.5,1.3,7.3,0.0
app1-1,3,3/0/0,53.0,0.5,31.7,1.3
app1-2,3,3/0/0,43.9,7.3,36.6,6.1
arki001,3,0/0/3,3.1,26.6,954.5,220.1
assign1-5-8,3,3/0/0,10.2,0.1,3.6,0.0
atlanta-ip,3,3/0/0,16.0,13.8,18.5,0.0
b1c1s1,3,3/0/0,185.6,0.5,33.7,3.6
bab2,3,2/0/1,18.4,286.2,156.4,24.5
bab6,3,3/0/0,10.4,52.4,23.8,0.4
beasleyC3,3,3/0/0,11.6,0.2,35.0,4.8
binkar10_1,3,3/0/0,2.2,0.1,9.3,0.0
blp-ar98,3,3/0/0,66.8,2.4,17.9,0.0
blp-ic98,3,3/0/0,36.3,0.5,2.6,0.0
bnatt400,2,0/0/2,0.0,179.0,775.3,0.0
bppc4-08,3,3/0/0,38.9,0.4,23.3,0.0
brazil3,3,0/3/0,1078.6,47.8,33.2,0.0
buildingenergy,3,0/3/0,1.1,273.1,5.0,0.0
cap6000,3,3/0/0,0.3,0.1,1.0,0.0
cbs-cta,3,3/0/0,0.0,2.7,40.3,10.3
chromaticindex1024-7,3,3/0/0,0.0,54.2,2.3,0.0
chromaticindex512-7,3,3/0/0,0.0,43.8,2.0,0.0
cmflsp50-24-8-8,3,0/1/2,20.0,172.4,1020.5,297.8
co-100,3,3/0/0,301.8,3.0,7.0,0.0
cod105,3,3/0/0,100.0,1.8,1.0,0.0
comp07-2idx,3,0/3/0,3064.9,16.2,51.6,0.4
comp21-2idx,3,0/3/0,547.1,12.3,56.7,0.6
cost266-UUE,3,3/0/0,36.7,0.2,13.0,0.0
cryptanalysiskb128n5obj16,0,0/0/0,-,-,-,-
csched007,3,1/0/2,69.1,6.8,436.2,51.7
csched008,3,3/0/0,8.6,0.5,39.2,2.0
cvs16r128-89,3,3/0/0,97.9,1.0,1.0,0.0
dano3_3,3,3/0/0,0.0,20.4,2.0,0.0
dano3_5,3,3/0/0,0.3,21.6,3.0,0.0
dano3mip,3,3/0/0,14.6,28.1,11.7,0.0
danoint,3,3/0/0,21.8,0.8,39.6,4.8
disctom,3,3/0/0,0.0,1.3,2.0,0.0
drayage-100-23,3,3/0/0,5.5,0.2,7.0,0.0
drayage-25-23,3,3/0/0,16.4,0.5,15.8,0.0
ds,3,3/0/0,4945.0,6.1,1.0,0.0
dws008-01,3,0/0/3,57.4,66.6,835.5,252.5
eil33-2,3,3/0/0,222.3,0.1,1.0,0.0
eilA101-2,3,3/0/0,331.4,1.0,1.0,0.0
enlight_hard,2,0/0/2,0.0,2.6,870.4,459.5
exp-1-500-5-5,3,3/0/0,73.6,0.1,23.9,0.0
fast0507,3,3/0/0,25.0,0.9,1.0,0.0
fastxgemm-n2r6s0t2,3,3/0/0,853.3,0.9,44.1,3.6
fhnw-binpack4-48,0,0/0/0,-,-,-,-
fiball,3,0/3/0,16.6,2.0,13.5,0.0
fiber,3,3/0/0,79.7,0.1,29.3,0.0
fixnet6,3,3/0/0,52.3,0.1,31.0,1.0
gen-ip002,3,0/3/0,13.9,0.1,1.0,0.0
gen-ip054,3,0/3/0,19.3,0.1,2.9,0.0
germanrr,3,0/3/0,3.0,10.0,43.2,4.9
gesa2-o,3,0/3/0,18.0,0.2,36.5,1.5
gesa2,3,0/3/0,2.6,0.2,20.4,0.0
gfd-schedulen180f7d50m30k18,0,0/0/0,-,-,-,-
glass-sc,3,3/0/0,13.4,0.6,1.0,0.0
glass4,3,3/0/0,223.1,0.2,62.2,16.6
gmu-35-40,3,3/0/0,7.4,0.1,10.0,0.0
gmu-35-50,3,3/0/0,14.0,0.3,34.4,0.9
graph20-20-1rand,3,3/0/0,17.7,2.3,22.4,0.0
graphdraw-domain,3,0/3/0,50.1,0.2,28.4,0.9
h80x6320d,3,3/0/0,18.4,1.2,32.0,1.9
harp2,3,3/0/0,11.9,0.1,12.7,0.0
highschool1-aigio,3,0/3/0,inf,1353.1,46.6,0.3
hypothyroid-k1,3,3/0/0,0.0,4.6,1.0,0.0
ic97p,3,0/0/3,14.2,4.3,777.6,170.0
ic97t,3,0/1/2,13.1,3.8,1133.4,279.0
icir97p,3,0/0/3,20.1,14.6,832.0,161.3
icir97t,3,0/3/0,14.4,3.5,155.4,85.1
irish-electricity,3,3/0/0,7.6,11.4,10.1,0.0
irp,3,3/0/0,0.4,0.4,4.3,0.0
istanbul-no-cutoff,3,3/0/0,25.4,6.3,22.0,0.0
k1mushroom,3,3/0/0,18.2,40.9,1.0,0.0
lectsched-5-obj,3,0/0/3,2823.5,116.5,1244.4,6.6
leo1,3,3/0/0,50.7,0.1,1.0,0.0
leo2,3,3/0/0,45.2,0.2,1.0,0.0
liu,3,3/0/0,97.8,0.7,50.0,18.3
lotsize,3,2/0/1,203.2,1.8,135.4,45.7
mad,3,3/0/0,10466.5,0.2,27.0,0.0
manna81,3,0/3/0,13.9,0.1,2.6,0.0
map10,3,3/0/0,40.4,30.3,38.8,4.5
map16715-04,3,3/0/0,93.0,42.8,35.5,2.5
markshare1,3,3/0/0,36348.2,0.1,1.0,0.0
markshare2,3,3/0/0,53841.8,0.1,1.0,0.0
markshare_4_0,3,3/0/0,7400.0,0.1,1.0,0.0
mas74,3,0/3/0,126.3,0.1,19.0,0.0
mas76,3,0/3/0,18.2,0.1,12.3,0.0
mc11,3,3/0/0,90.0,0.4,42.3,12.0
mcsched,3,3/0/0,53.5,0.5,2.6,0.0
mik-250-20-75-4,3,0/3/0,23.6,0.1,17.2,0.8
milo-v12-6-r2-40-1,3,3/0/0,91.5,0.8,38.6,6.3
misc07,3,3/0/0,45.1,0.1,18.6,0.0
mkc,3,0/3/0,66.5,0.1,2.0,0.0
mod011,3,3/0/0,3.2,0.3,15.5,0.0
modglob,3,3/0/0,16.0,0.1,20.3,0.0
momentum1,3,0/3/0,219.1,39.0,531.6,306.9
msc98-ip,3,3/0/0,15.4,5.5,27.2,0.6
mushroom-best,3,0/3/0,9.98e+06,16.8,57.7,5.3
mzzv11,3,0/3/0,23.8,3.3,14.6,0.0
mzzv42z,3,0/3/0,32.1,2.5,11.2,0.0
n2seq36q,3,3/0/0,29.9,0.4,1.0,0.0
n3div36,3,3/0/0,39.2,0.4,1.0,0.0
n5-3,3,0/3/0,13.2,0.3,20.4,0.0
neos-1122047,3,3/0/0,100.0,0.1,0.0,0.0
neos-1171448,3,3/0/0,13.4,2.7,15.6,0.0
neos-1171737,3,3/0/0,8.4,0.8,9.7,0.0
neos-1354092,3,0/3/0,12.8,118.4,25.9,0.0
neos-1445765,3,3/0/0,35.3,0.7,6.2,0.0
neos-1456979,3,0/2/1,140.4,19.0,210.7,32.2
neos-1582420,3,0/3/0,52.2,0.7,34.2,1.3
neos-2657525-crna,3,0/3/0,1032.2,0.2,37.4,2.5
neos-2746589-doon,3,0/2/1,48.6,129.8,219.4,22.4
neos-2978193-inde,3,3/0/0,2.1,0.3,5.5,0.0
neos-2987310-joes,3,2/1/0,0.3,10.1,54.3,14.8
neos-3004026-krka,3,0/0/3,0.0,109.2,1285.7,3.6
neos-3024952-loue,3,0/0/3,836.0,106.5,1864.3,25.1
neos-3046615-murg,3,0/3/0,6908.7,0.2,110.8,86.7
neos-3083819-nubu,3,0/3/0,0.8,0.1,1.0,0.0
neos-3216931-puriri,3,0/0/3,129.3,402.9,974.6,0.6
neos-3381206-awhea,3,0/0/3,4.9,14.3,814.2,1.2
neos-3402294-bobin,3,2/1/0,156.3,17.7,13.9,0.0
neos-3555904-turama,3,3/0/0,4.3,150.4,34.8,0.9
neos-3627168-kasai,3,3/0/0,1.1,0.1,22.0,0.3
neos-3656078-kumeu,3,0/0/3,25.1,136.4,978.4,0.4
neos-3754480-nidda,3,3/0/0,13233.7,0.1,18.3,0.0
neos-4300652-rahue,3,0/0/3,327.8,631.5,738.2,0.4
neos-4338804-snowy,3,0/3/0,470.4,0.7,89.8,23.0
neos-4387871-tavua,3,0/1/2,352.1,25.3,884.5,457.1
neos-4413714-turia,3,3/0/0,18.6,38.7,35.6,2.7
neos-4532248-waihi,3,0/0/3,949.4,576.7,730.0,72.7
neos-4647030-tutaki,3,3/0/0,97.0,13.4,13.0,0.0
neos-4722843-widden,3,0/3/0,121.0,50.0,82.9,22.5
neos-4738912-atrato,3,0/3/0,9.5,0.4,18.7,0.0
neos-4763324-toguru,3,3/0/0,105.2,35.4,40.7,9.6
neos-4954672-berkel,3,3/0/0,53.4,0.1,19.9,0.0
neos-5049753-cuanza,3,0/2/1,61.3,1122.4,417.7,89.7
neos-5052403-cygnet,3,3/0/0,0.3,39.5,2.0,0.0
neos-5093327-huahum,3,0/3/0,1299.4,18.6,152.4,115.3
neos-5104907-jarama,2,0/0/2,152.8,3104.2,793.8,46.7
neos-5107597-kakapo,3,3/0/0,14034.4,1.6,107.9,76.6
neos-5114902-kasavu,1,1/0/0,63.7,3094.1,122.0,32.0
neos-5188808-nattai,3,3/0/0,3783.0,14.4,64.0,11.7
neos-5195221-niemur,3,3/0/0,633.5,14.3,33.6,1.5
neos-631710,3,3/0/0,149.4,2.4,1.0,0.0
neos-662469,3,0/3/0,251.6,6.4,18.6,0.4
neos-787933,3,0/3/0,0.0,0.1,1.0,0.0
neos-827175,3,3/0/0,0.0,0.5,0.0,0.0
neos-848589,3,0/3/0,3.44e+05,133.3,90.7,29.0
neos-860300,3,3/0/0,77.8,1.4,16.8,0.0
neos-873061,3,3/0/0,39.7,27.7,31.7,1.6
neos-911970,3,3/0/0,230.5,0.2,36.3,1.3
neos-933966,3,3/0/0,3.5,2.9,6.2,0.0
neos-950242,3,3/0/0,194.2,12.6,31.5,1.3
neos-957323,3,3/0/0,6.6,2.1,1.9,0.0
neos-960392,3,3/0/0,1.5,10.2,26.4,0.7
neos10,3,0/3/0,64.5,0.1,2.9,0.0
neos16,3,0/0/3,1.1,6.9,876.2,6.1
neos17,3,3/0/0,216.6,0.1,35.0,4.0
neos20,3,0/0/3,50.0,7.9,876.1,68.3
neos5,3,3/0/0,40.4,0.1,3.2,0.0
neos7,3,0/3/0,9.9,0.2,15.5,0.3
neos8,3,0/3/0,20.7,0.1,2.6,0.0
net12,3,3/0/0,19.2,2.5,10.6,0.0
netdiversion,3,3/0/0,101.5,256.1,17.0,0.0
nexp-150-20-8-5,3,3/0/0,145.9,0.3,3.0,0.0
nh97p,3,0/0/3,8.3,12.1,988.8,209.0
nh97t,3,0/1/2,11.2,11.3,975.2,309.6
noswot,3,0/3/0,11.7,0.1,17.5,0.6
ns1116954,3,1/1/1,0.0,465.7,467.3,3.2
ns1208400,3,0/2/1,0.0,95.8,421.7,0.0
ns1644855,3,3/0/0,13.8,488.2,40.3,4.9
ns1760995,3,3/0/0,11.0,20.9,18.7,0.3
ns1830653,3,1/2/0,481.8,9.7,181.2,5.2
