problem,numSols,stage 1/2/3,gap,time,iterations,restarts
10teams,3,0/3/0,8.4,14.2,185.0,0.3
30n20b8,3,0/3/0,221.5,4.5,154.2,28.1
50v-10,3,0/3/0,128.0,0.3,20.4,0.0
CMS750_4,3,3/0/0,63.4,3.0,45.8,6.6
a1c1s1,3,3/0/0,90.7,0.5,31.0,1.0
academictimetablesmall,3,0/0/3,inf,645.6,1027.2,0.0
aflow30a,3,3/0/0,165.1,0.1,35.7,3.3
aflow40b,3,3/0/0,381.0,0.3,35.3,3.6
air04,3,3/0/0,2.3,2.2,7.1,0.0
air05,3,3/0/0,2.6,0.8,5.0,0.0
app1-1,3,3/0/0,15.6,0.5,33.6,2.5
app1-2,3,3/0/0,43.9,7.1,37.0,6.6
arki001,3,0/1/2,3.1,24.8,919.8,198.1
assign1-5-8,3,3/0/0,5.2,0.1,4.3,0.0
atlanta-ip,3,3/0/0,15.1,12.1,11.1,0.0
b1c1s1,3,3/0/0,208.5,0.6,33.7,3.6
bab2,3,1/2/0,53.3,340.6,227.0,67.4
bab6,3,0/3/0,36.1,142.2,168.7,59.8
beasleyC3,3,3/0/0,11.7,0.2,35.0,4.8
binkar10_1,3,3/0/0,2.5,0.1,17.2,0.0
blp-ar98,3,3/0/0,79.0,2.8,22.9,0.4
blp-ic98,3,3/0/0,37.3,0.4,2.2,0.0
bnatt400,3,0/0/3,0.0,199.5,717.1,0.0
bppc4-08,3,3/0/0,40.3,0.1,5.6,0.0
brazil3,3,0/3/0,717.7,63.7,42.3,0.0
buildingenergy,3,0/3/0,1.1,119.0,3.0,0.0
cap6000,3,3/0/0,0.3,0.1,1.0,0.0
cbs-cta,3,3/0/0,0.0,2.7,40.3,10.3
chromaticindex1024-7,3,3/0/0,0.0,60.1,5.0,0.0
chromaticindex512-7,3,3/0/0,0.0,71.9,5.3,0.0
cmflsp50-24-8-8,3,0/0/3,18.2,160.1,944.9,283.7
co-100,3,3/0/0,274.5,8.7,22.9,0.0
cod105,3,3/0/0,100.0,1.8,1.0,0.0
comp07-2idx,3,0/3/0,2930.5,16.1,51.6,1.1
