problem,numSols,stage 1/2/3,gap,time,iterations,restarts
10teams,3,3/0/0,6.6,3.4,53.8,0.3
30n20b8,3,0/3/0,410.7,10.3,348.9,90.0
50v-10,3,0/3/0,138.2,0.3,21.7,0.3
CMS750_4,3,3/0/0,73.3,5.7,94.7,20.0
a1c1s1,3,3/0/0,33.9,0.5,31.3,1.3
academictimetablesmall,3,0/0/3,inf,544.2,799.7,0.6
aflow30a,3,3/0/0,109.7,0.1,31.3,1.3
aflow40b,3,3/0/0,142.6,0.3,31.3,1.1
air04,3,3/0/0,1.0,2.9,9.6,0.0
air05,3,3/0/0,2.4,1.1,7.3,0.0
app1-1,3,3/0/0,42.0,0.6,35.5,4.1
app1-2,3,3/0/0,43.1,12.0,58.0,16.9
arki001,3,0/1/2,2.8,16.1,671.3,145.2
assign1-5-8,3,3/0/0,4.3,0.1,24.1,0.0
atlanta-ip,3,3/0/0,10.5,15.1,18.3,0.0
b1c1s1,3,3/0/0,220.3,0.5,33.7,3.6
bab2,3,1/1/1,13.9,391.0,240.7,25.9
bab6,3,1/0/2,13.6,283.0,349.5,79.4
beasleyC3,3,3/0/0,11.1,0.2,35.7,5.6
binkar10_1,3,3/0/0,3.9,0.1,7.7,0.0
blp-ar98,3,3/0/0,72.8,2.4,19.8,0.0
blp-ic98,3,3/0/0,37.3,0.4,2.2,0.0
bnatt400,2,0/0/2,0.0,191.9,735.8,0.0
bppc4-08,3,3/0/0,280.1,1.1,62.0,6.3
brazil3,3,0/3/0,378.2,17.4,21.3,0.0
buildingenergy,3,0/3/0,1.1,594.3,11.0,0.0
cap6000,3,3/0/0,0.3,0.1,1.0,0.0
cbs-cta,3,3/0/0,inf,2.8,40.3,10.3
chromaticindex1024-7,3,3/0/0,0.0,54.2,2.3,0.0
chromaticindex512-7,3,3/0/0,0.0,44.8,2.0,0.0
cmflsp50-24-8-8,3,1/1/1,17.3,37.6,256.9,71.8
co-100,3,3/0/0,313.2,6.4,16.8,0.0
cod105,3,3/0/0,100.0,1.8,1.0,0.0
comp07-2idx,3,0/3/0,3921.1,6.8,28.0,0.0
comp21-2idx,3,0/3/0,413.1,4.5,26.7,0.0
cost266-UUE,3,3/0/0,32.7,0.5,29.5,0.6
cryptanalysiskb128n5obj16,0,0/0/0,-,-,-,-
csched007,3,0/2/1,80.3,8.6,829.1,177.4
csched008,3,1/2/0,9.4,1.5,159.6,35.7
cvs16r128-89,3,3/0/0,97.9,1.0,1.0,0.0
dano3_3,3,3/0/0,0.0,17.8,18.0,0.0
dano3_5,3,3/0/0,0.1,35.4,31.5,1.1
