problem,numSols,stage 1/2/3,gap,time,iterations,restarts
10teams,3,1/2/0,9.9,9.1,163.2,3.7
30n20b8,3,0/2/1,548.8,9.1,325.9,84.6
50v-10,3,0/3/0,136.9,0.2,18.4,0.0
CMS750_4,3,3/0/0,76.9,5.3,88.7,13.7
a1c1s1,3,3/0/0,31.9,0.7,31.3,1.3
academictimetablesmall,3,0/0/3,inf,662.3,1223.4,0.3
aflow30a,3,3/0/0,162.9,0.1,34.8,2.6
aflow40b,3,3/0/0,367.3,0.4,37.3,4.3
air04,3,3/0/0,3.9,3.2,22.1,0.3
air05,3,3/0/0,2.4,0.9,5.0,0.0
app1-1,3,3/0/0,53.0,0.6,35.9,3.8
app1-2,3,3/0/0,43.9,7.4,37.9,6.9
arki001,3,0/1/2,3.1,26.6,958.2,226.0
assign1-5-8,3,3/0/0,5.3,0.1,5.6,0.0
atlanta-ip,3,3/0/0,14.9,15.2,24.4,0.3
b1c1s1,3,3/0/0,102.2,0.7,34.7,4.3
bab2,3,0/1/2,22.7,907.5,765.2,261.3
bab6,3,3/0/0,16.2,74.9,75.8,2.3
beasleyC3,3,3/0/0,10.6,0.2,35.7,5.6
binkar10_1,3,3/0/0,1.7,0.1,14.3,0.0
blp-ar98,3,3/0/0,71.4,1.8,14.5,0.0
blp-ic98,3,3/0/0,36.3,0.4,2.2,0.0
bnatt400,0,0/0/0,-,-,-,-
bppc4-08,3,3/0/0,57.6,0.1,6.2,0.0
brazil3,3,0/3/0,489.8,42.4,48.6,0.0
buildingenergy,3,0/3/0,0.9,167.0,4.0,0.0
cap6000,3,3/0/0,0.3,0.1,1.0,0.0
cbs-cta,3,3/0/0,0.0,2.7,40.3,10.3
chromaticindex1024-7,3,3/0/0,0.0,60.5,6.3,0.0
chromaticindex512-7,3,3/0/0,0.0,75.7,6.3,0.0
cmflsp50-24-8-8,3,2/1/0,15.0,14.3,107.4,24.9
co-100,3,3/0/0,337.0,7.5,19.0,0.0
cod105,3,3/0/0,100.0,1.7,1.0,0.0
comp07-2idx,3,0/3/0,2840.4,17.0,60.3,0.3
comp21-2idx,3,0/3/0,406.2,14.5,63.3,1.3
cost266-UUE,3,3/0/0,36.9,0.4,24.3,0.8
