problem,numSols,stage 1/2/3,gap,time,iterations,restarts
10teams,3,1/1/1,5.6,15.4,257.7,15.7
30n20b8,3,0/1/2,291.7,23.9,870.4,207.6
50v-10,3,0/3/0,124.8,0.3,22.0,0.3
CMS750_4,3,3/0/0,54.4,6.1,101.7,14.5
a1c1s1,3,3/0/0,30.9,0.6,31.7,1.6
academictimetablesmall,2,0/0/2,inf,635.4,1153.0,0.7
aflow30a,3,3/0/0,74.9,0.1,34.2,2.5
aflow40b,3,3/0/0,300.3,0.5,53.5,9.3
air04,3,3/0/0,0.4,3.1,8.8,0.0
air05,3,3/0/0,3.1,1.7,16.1,0.0
app1-1,3,3/0/0,33.3,0.7,46.0,8.8
app1-2,3,3/0/0,43.9,13.6,65.9,23.4
arki001,3,0/3/0,3.1,13.3,648.8,165.9
assign1-5-8,3,3/0/0,2.6,0.1,23.3,0.0
atlanta-ip,3,3/0/0,10.7,16.3,22.8,0.0
b1c1s1,3,3/0/0,167.6,0.5,34.3,4.0
bab2,3,0/0/3,12.1,860.3,788.4,210.4
bab6,3,0/1/2,21.3,397.7,582.4,146.5
beasleyC3,3,3/0/0,12.5,0.2,35.7,5.6
binkar10_1,3,3/0/0,3.9,0.1,7.7,0.0
blp-ar98,3,3/0/0,69.9,2.2,17.9,0.0
blp-ic98,3,3/0/0,37.3,0.4,2.2,0.0
bnatt400,1,0/0/1,0.0,129.6,943.0,1.0
bppc4-08,3,3/0/0,42.3,1.1,62.3,9.7
brazil3,3,0/3/0,370.7,22.7,29.3,0.0
buildingenergy,3,0/3/0,1.1,627.4,11.0,0.0
cap6000,3,3/0/0,0.3,0.1,1.0,0.0
cbs-cta,3,3/0/0,0.0,2.7,40.3,10.3
chromaticindex1024-7,3,3/0/0,0.0,54.0,2.3,0.0
chromaticindex512-7,3,3/0/0,0.0,45.1,2.0,0.0
cmflsp50-24-8-8,3,1/1/1,18.9,63.3,452.5,152.9
co-100,3,3/0/0,377.2,5.4,14.3,0.0
cod105,3,3/0/0,100.0,1.8,1.0,0.0
comp07-2idx,3,0/3/0,4034.5,6.1,24.0,0.0
comp21-2idx,3,0/3/0,438.7,4.6,27.8,0.0
cost266-UUE,3,3/0/0,38.3,0.5,29.9,0.6
cryptanalysiskb128n5obj16,0,0/0/0,-,-,-,-
csched007,3,0/0/3,52.1,12.7,1059.3,205.6
csched008,3,0/1/2,9.8,4.4,533.2,180.4
cvs16r128-89,3,3/0/0,97.9,1.0,1.0,0.0
dano3_3,3,3/0/0,0.0,18.6,17.7,0.0
dano3_5,3,3/0/0,0.1,104.0,45.7,7.2
dano3mip,3,3/0/0,10.8,160.0,70.3,15.3
danoint,3,1/2/0,185.2,2.6,130.3,46.0
disctom,3,3/0/0,0.0,1.3,2.0,0.0
drayage-100-23,3,3/0/0,7.5,0.4,15.2,0.0
drayage-25-23,3,3/0/0,9.1,0.6,20.8,0.0
ds,3,3/0/0,4945.0,6.1,1.0,0.0
dws008-01,3,0/0/3,32.9,96.2,1544.1,545.1
eil33-2,3,3/0/0,222.3,0.1,1.0,0.0
eilA101-2,3,3/0/0,331.4,1.0,1.0,0.0
enlight_hard,2,0/0/2,0.0,3.0,719.0,212.6
exp-1-500-5-5,3,3/0/0,136.7,0.1,27.9,0.3
fast0507,3,3/0/0,25.0,0.9,1.0,0.0
fastxgemm-n2r6s0t2,3,3/0/0,929.1,0.4,26.7,1.0
fhnw-binpack4-48,0,0/0/0,-,-,-,-
fiball,3,0/3/0,12.3,7.4,55.0,4.8
fiber,3,3/0/0,153.6,0.1,15.7,0.0
fixnet6,3,3/0/0,53.9,0.1,31.0,1.0
gen-ip002,3,0/3/0,13.9,0.1,1.0,0.0
gen-ip054,3,0/3/0,12.5,0.1,4.5,0.0
germanrr,3,0/3/0,4.1,13.4,67.7,8.3
gesa2-o,3,0/3/0,10.0,0.2,34.6,1.6
gesa2,3,0/3/0,2.4,0.2,20.4,0.0
gfd-schedulen180f7d50m30k18,0,0/0/0,-,-,-,-
glass-sc,3,3/0/0,13.4,0.5,1.0,0.0
glass4,3,3/0/0,501.6,0.3,116.3,42.3
gmu-35-40,3,3/0/0,6.5,0.1,14.6,0.0
gmu-35-50,3,3/0/0,9.5,0.4,43.4,3.2
graph20-20-1rand,3,3/0/0,23.3,4.3,44.1,0.6
graphdraw-domain,3,0/3/0,258.3,0.6,137.4,48.6
h80x6320d,3,3/0/0,21.0,1.2,32.0,1.9
harp2,3,3/0/0,12.1,0.1,12.7,0.0
highschool1-aigio,3,0/3/0,inf,799.3,22.4,0.0
hypothyroid-k1,3,3/0/0,0.0,4.6,1.0,0.0
ic97p,3,0/2/1,10.7,1.4,193.8,73.0
ic97t,3,0/1/2,12.3,4.3,1295.6,449.2
icir97p,3,0/0/3,18.3,20.0,839.1,218.1
icir97t,3,0/2/1,13.0,6.2,233.4,127.8
irish-electricity,3,3/0/0,6.0,25.6,34.7,1.5
irp,3,3/0/0,1.8,0.3,3.0,0.0
istanbul-no-cutoff,3,3/0/0,18.3,6.4,22.3,0.0
k1mushroom,3,3/0/0,18.2,40.0,1.0,0.0
lectsched-5-obj,3,0/0/3,2691.7,126.5,1324.5,0.3
leo1,3,3/0/0,50.7,0.1,1.0,0.0
leo2,3,3/0/0,45.2,0.2,1.0,0.0
liu,3,3/0/0,470.9,1.2,89.7,57.3
lotsize,3,3/0/0,59.0,0.5,46.6,11.9
mad,3,3/0/0,6322.9,0.1,15.3,0.0
manna81,3,0/3/0,13.9,0.1,2.6,0.0
