problem,numSols,stage 1/2/3,gap,time,iterations,restarts
10teams,3,1/1/1,1.7,19.2,270.9,21.6
30n20b8,3,0/0/3,739.0,26.8,913.2,256.7
50v-10,3,0/3/0,130.5,0.4,20.4,0.0
CMS750_4,3,3/0/0,53.7,6.4,97.8,13.7
a1c1s1,3,3/0/0,29.9,0.5,31.7,1.6
academictimetablesmall,2,0/0/2,inf,616.8,1382.6,74.5
aflow30a,3,3/0/0,74.4,0.1,32.0,1.6
aflow40b,3,3/0/0,180.1,0.3,34.2,2.3
air04,3,3/0/0,0.4,2.9,8.8,0.0
air05,3,3/0/0,3.1,1.6,16.1,0.0
app1-1,3,3/0/0,42.0,0.9,63.8,23.5
app1-2,3,3/0/0,43.9,18.0,79.8,33.5
arki001,3,0/3/0,2.8,11.2,635.9,152.6
assign1-5-8,3,3/0/0,1.4,0.1,23.7,0.0
atlanta-ip,3,3/0/0,11.7,17.4,32.2,0.3
b1c1s1,3,3/0/0,207.2,0.5,34.7,4.0
bab2,3,1/1/1,14.9,407.2,278.5,15.5
bab6,3,0/0/3,14.7,494.8,773.4,262.2
beasleyC3,3,3/0/0,11.6,0.2,35.7,5.6
binkar10_1,3,3/0/0,3.9,0.1,7.7,0.0
blp-ar98,3,3/0/0,73.3,2.0,17.9,0.0
blp-ic98,3,3/0/0,37.3,0.4,2.2,0.0
bnatt400,0,0/0/0,-,-,-,-
bppc4-08,3,3/0/0,31.5,1.1,63.0,7.1
brazil3,3,0/3/0,490.2,20.2,25.6,0.0
buildingenergy,3,0/3/0,1.1,721.6,11.0,0.0
cap6000,3,3/0/0,0.3,0.1,1.0,0.0
cbs-cta,3,3/0/0,0.0,2.9,40.3,10.3
chromaticindex1024-7,3,3/0/0,0.0,63.0,2.3,0.0
chromaticindex512-7,3,3/0/0,0.0,42.9,2.0,0.0
cmflsp50-24-8-8,3,1/2/0,17.6,29.9,219.2,65.2
co-100,3,3/0/0,377.2,5.7,15.0,0.0
cod105,3,3/0/0,100.0,1.9,1.0,0.0
comp07-2idx,3,0/3/0,3673.0,5.7,28.0,0.0
comp21-2idx,3,0/3/0,408.3,4.0,27.8,0.0
