problem,numSols,stage 1/2/3,gap,time,iterations,restarts
10teams,3,3/0/0,1.1,0.6,9.5,0.0
30n20b8,3,0/2/1,677.3,11.4,367.7,69.3
50v-10,3,0/3/0,132.0,0.3,20.4,0.0
CMS750_4,3,3/0/0,58.1,6.7,98.6,14.5
a1c1s1,3,3/0/0,30.1,0.5,31.7,1.6
academictimetablesmall,2,0/0/2,inf,545.0,1146.2,40.0
aflow30a,3,3/0/0,94.6,0.2,36.3,3.5
aflow40b,3,3/0/0,196.6,0.5,36.6,3.8
air04,3,3/0/0,0.7,3.7,16.9,0.0
air05,3,3/0/0,3.1,1.8,16.7,0.0
app1-1,3,3/0/0,42.0,1.0,53.5,16.3
app1-2,3,3/0/0,43.9,18.7,79.7,27.8
arki001,3,0/2/1,3.0,14.5,645.2,176.8
assign1-5-8,3,3/0/0,1.0,0.1,22.2,0.0
atlanta-ip,3,3/0/0,12.2,18.7,35.7,0.8
b1c1s1,3,3/0/0,126.8,0.5,36.3,4.9
bab2,3,1/0/2,8.3,457.8,317.0,40.1
bab6,3,0/1/2,23.3,377.3,515.6,55.7
beasleyC3,3,3/0/0,11.6,0.2,35.7,5.6
binkar10_1,3,3/0/0,3.9,0.1,7.7,0.0
blp-ar98,3,3/0/0,96.5,3.0,24.4,0.6
blp-ic98,3,3/0/0,37.3,0.4,2.2,0.0
bnatt400,1,0/0/1,0.0,222.3,1771.0,1.0
bppc4-08,3,3/0/0,37.0,1.2,63.3,9.7
brazil3,3,0/3/0,440.4,22.6,28.1,0.0
buildingenergy,3,0/3/0,1.1,782.1,11.0,0.0
cap6000,3,3/0/0,0.3,0.1,1.0,0.0
cbs-cta,3,3/0/0,0.0,3.0,40.7,10.7
chromaticindex1024-7,3,3/0/0,0.0,62.9,2.3,0.0
chromaticindex512-7,3,3/0/0,0.0,47.2,2.0,0.0
cmflsp50-24-8-8,3,1/1/1,19.1,55.7,365.5,97.3
co-100,3,3/0/0,302.3,6.7,16.3,0.0
cod105,3,3/0/0,100.0,1.8,1.0,0.0
comp07-2idx,3,0/3/0,3645.7,5.8,24.5,0.0
comp21-2idx,3,0/3/0,407.4,4.8,28.9,0.3
cost266-UUE,3,3/0/0,37.3,0.5,28.3,0.3
cryptanalysiskb128n5obj16,0,0/0/0,-,-,-,-
csched007,3,0/1/2,35.9,7.3,726.9,145.6
csched008,3,1/1/1,9.4,3.7,370.9,98.8
cvs16r128-89,3,3/0/0,97.9,1.0,1.0,0.0
dano3_3,3,3/0/0,0.0,18.4,18.0,0.0
dano3_5,3,3/0/0,0.2,135.4,49.9,9.2
dano3mip,3,3/0/0,11.9,160.2,72.6,15.0
danoint,3,1/2/0,651.4,3.9,207.6,89.2
disctom,3,3/0/0,0.0,1.5,2.0,0.0
drayage-100-23,3,3/0/0,7.7,0.5,16.4,0.0
drayage-25-23,3,3/0/0,5.5,0.5,15.9,0.0
ds,3,3/0/0,4945.0,6.2,1.0,0.0
dws008-01,3,0/1/2,30.1,80.5,1134.2,394.2
eil33-2,3,3/0/0,222.3,0.1,1.0,0.0
eilA101-2,3,3/0/0,331.4,1.1,1.0,0.0
enlight_hard,3,0/0/3,0.0,4.2,720.3,203.6
exp-1-500-5-5,3,3/0/0,51.1,0.1,27.6,0.0
fast0507,3,3/0/0,25.0,0.9,1.0,0.0
fastxgemm-n2r6s0t2,3,3/0/0,604.6,0.3,19.3,0.0
fhnw-binpack4-48,0,0/0/0,-,-,-,-
fiball,3,0/3/0,12.5,6.1,52.3,3.4
fiber,3,3/0/0,142.9,0.1,19.3,0.0
fixnet6,3,3/0/0,39.1,0.1,31.0,1.0
gen-ip002,3,0/3/0,13.9,0.1,1.0,0.0
gen-ip054,3,0/3/0,14.7,0.1,6.2,0.7
germanrr,3,0/3/0,6.9,19.5,102.9,22.2
gesa2-o,3,0/3/0,5.5,0.2,34.6,1.6
gesa2,3,0/3/0,2.4,0.2,20.4,0.0
gfd-schedulen180f7d50m30k18,0,0/0/0,-,-,-,-
glass-sc,3,3/0/0,13.4,0.6,1.0,0.0
glass4,3,1/2/0,962.1,0.5,161.9,57.0
gmu-35-40,3,3/0/0,6.5,0.2,15.9,0.0
gmu-35-50,3,3/0/0,6.8,0.4,42.6,2.9
graph20-20-1rand,3,3/0/0,16.1,4.2,48.3,2.4
graphdraw-domain,3,0/3/0,114.5,0.4,96.6,25.7
h80x6320d,3,3/0/0,22.6,1.1,32.3,2.3
harp2,3,3/0/0,11.3,0.1,12.3,0.0
highschool1-aigio,3,0/3/0,inf,1028.2,31.0,0.0
hypothyroid-k1,3,3/0/0,0.0,5.5,1.0,0.0
ic97p,3,0/2/1,13.1,2.7,318.1,118.7
ic97t,3,0/0/3,13.0,4.2,1196.0,410.4
icir97p,3,0/0/3,19.1,24.6,1070.7,311.2
icir97t,3,0/2/1,13.5,12.9,448.6,269.9
irish-electricity,3,3/0/0,6.2,22.3,27.7,0.6
irp,3,3/0/0,1.8,0.3,3.0,0.0
istanbul-no-cutoff,3,3/0/0,30.0,6.3,22.6,0.0
k1mushroom,3,3/0/0,18.2,43.4,1.0,0.0
lectsched-5-obj,3,0/0/3,2361.3,107.0,1048.4,2.8
leo1,3,3/0/0,50.7,0.1,1.0,0.0
leo2,3,3/0/0,45.2,0.2,1.0,0.0
liu,3,3/0/0,674.7,1.3,89.7,56.6
lotsize,3,3/0/0,72.5,0.6,51.0,14.0
mad,3,3/0/0,6322.9,0.1,14.7,0.0
manna81,3,0/3/0,13.9,0.1,2.6,0.0
map10,3,3/0/0,37.3,50.7,68.6,18.0
map16715-04,3,3/0/0,100.0,56.3,62.6,15.3
markshare1,3,3/0/0,36348.2,0.1,1.0,0.0
markshare2,3,3/0/0,53841.8,0.1,1.0,0.0
markshare_4_0,3,3/0/0,7400.0,0.1,1.0,0.0
mas74,3,0/3/0,52.7,0.2,90.0,7.7
mas76,3,0/3/0,14.2,0.2,90.0,10.9
mc11,3,3/0/0,102.1,0.4,43.0,13.0
mcsched,3,3/0/0,16.3,0.5,4.0,0.0
mik-250-20-75-4,3,0/3/0,70.1,0.1,15.1,0.9
milo-v12-6-r2-40-1,3,3/0/0,110.0,1.0,42.3,12.3
misc07,3,3/0/0,11.1,0.2,22.9,0.0
mkc,3,0/3/0,66.5,0.1,2.0,0.0
mod011,3,3/0/0,5.0,0.4,23.1,0.0
modglob,3,3/0/0,143.5,0.1,31.3,1.3
momentum1,3,0/1/2,188.5,61.8,844.8,424.9
msc98-ip,3,3/0/0,10.7,6.3,32.9,1.5
mushroom-best,3,0/3/0,9.58e+06,19.5,60.4,1.5
mzzv11,3,0/3/0,19.9,3.9,27.3,0.3
mzzv42z,3,0/3/0,26.5,3.6,22.0,0.0
n2seq36q,3,3/0/0,29.9,0.4,1.0,0.0
n3div36,3,3/0/0,39.2,0.4,1.0,0.0
n5-3,3,0/3/0,18.2,0.6,30.3,0.6
neos-1122047,3,3/0/0,100.0,0.1,0.0,0.0
neos-1171448,3,3/0/0,1.6,5.2,32.6,2.1
neos-1171737,3,3/0/0,4.3,1.5,34.9,3.4
neos-1354092,3,0/3/0,2.1,136.7,39.3,0.8
neos-1445765,3,3/0/0,32.3,0.7,6.3,0.0
neos-1456979,3,0/2/1,75.5,31.6,405.6,117.0
neos-1582420,3,0/2/1,91.5,12.5,673.2,112.8
neos-2657525-crna,3,0/3/0,974.4,0.6,66.5,7.6
neos-2746589-doon,3,0/0/3,6.9,277.9,728.6,35.2
neos-2978193-inde,3,3/0/0,3.3,0.2,2.3,0.0
neos-2987310-joes,3,1/2/0,2.6,13.1,76.0,22.1
neos-3004026-krka,3,0/0/3,0.0,80.8,970.8,3.3
neos-3024952-loue,3,0/0/3,876.2,214.0,1862.5,1.2
neos-3046615-murg,3,0/3/0,10298.4,0.2,99.7,67.9
neos-3083819-nubu,3,0/3/0,0.8,0.1,1.0,0.0
neos-3216931-puriri,3,0/1/2,125.7,176.7,782.7,96.4
neos-3381206-awhea,3,0/0/3,4.9,19.3,737.2,0.0
neos-3402294-bobin,3,3/0/0,519.0,24.4,27.7,0.7
neos-3555904-turama,3,2/1/0,4.3,95.1,47.0,0.6
neos-3627168-kasai,3,3/0/0,1.5,0.1,20.4,0.0
neos-3656078-kumeu,3,0/0/3,24.3,141.1,1200.6,0.0
neos-3754480-nidda,3,3/0/0,9.5,0.2,67.3,10.3
neos-4300652-rahue,3,0/1/2,182.2,387.6,379.5,0.8
neos-4338804-snowy,3,0/3/0,51216.8,1.0,121.3,31.2
neos-4387871-tavua,3,0/1/2,951.7,29.7,1115.9,581.1
neos-4413714-turia,3,3/0/0,2.8,80.8,71.4,10.9
neos-4532248-waihi,3,1/1/1,949.4,484.5,392.9,84.5
neos-4647030-tutaki,3,3/0/0,5.4,28.9,32.3,1.6
neos-4722843-widden,3,0/3/0,60.9,66.1,97.8,28.2
neos-4738912-atrato,3,0/3/0,6.9,0.5,21.5,0.0
neos-4763324-toguru,3,3/0/0,54.3,24.1,25.4,0.0
neos-4954672-berkel,3,3/0/0,30.8,0.1,34.3,2.1
neos-5049753-cuanza,3,0/1/2,45.5,1193.2,472.4,109.2
neos-5052403-cygnet,3,3/0/0,0.6,44.7,2.3,0.0
neos-5093327-huahum,3,3/0/0,32.3,8.6,87.6,52.5
neos-5104907-jarama,2,0/1/1,42.1,1370.6,469.7,106.9
neos-5107597-kakapo,3,3/0/0,34021.0,2.0,132.5,99.6
neos-5114902-kasavu,0,0/0/0,-,-,-,-
neos-5188808-nattai,3,3/0/0,4656.3,4.4,26.3,0.0
neos-5195221-niemur,3,3/0/0,655.5,4.3,11.9,0.0
neos-631710,3,3/0/0,149.4,2.5,1.0,0.0
neos-662469,3,0/3/0,330.1,5.7,14.4,0.0
neos-787933,3,0/3/0,0.0,0.1,1.0,0.0
neos-827175,3,3/0/0,0.0,0.6,0.0,0.0
neos-848589,3,3/0/0,272.6,80.8,53.8,12.2
neos-860300,3,3/0/0,57.7,0.5,5.3,0.0
neos-873061,3,3/0/0,58.7,26.1,31.7,1.6
neos-911970,3,3/0/0,127.4,0.2,53.6,5.0
neos-933966,3,3/0/0,157.7,1.4,10.3,0.0
neos-950242,3,2/1/0,22.4,15.5,45.7,2.4
neos-957323,3,3/0/0,6.6,2.1,1.9,0.0
neos-960392,3,0/1/2,1.8,105.7,452.6,24.3
neos10,3,0/3/0,64.5,0.1,2.9,0.0
neos16,3,0/0/3,0.4,8.5,980.3,34.4
neos17,3,3/0/0,295.4,0.2,32.3,1.6
neos20,3,0/1/2,76.6,15.1,1615.5,122.3
neos5,3,3/0/0,70.0,0.1,3.3,0.0
neos7,3,0/3/0,4.9,0.3,27.9,0.0
neos8,3,0/3/0,20.7,0.1,2.6,0.0
net12,3,3/0/0,24.2,3.1,20.5,0.0
netdiversion,3,3/0/0,84.5,69.1,8.7,0.0
nexp-150-20-8-5,3,3/0/0,145.9,0.6,7.0,0.0
nh97p,3,0/0/3,10.4,14.4,682.4,150.5
nh97t,3,0/0/3,10.1,25.5,1136.6,309.4
noswot,3,0/3/0,9.5,0.1,28.5,0.3
ns1116954,3,0/0/3,0.0,1329.7,1548.8,5.4
ns1208400,3,2/1/0,0.0,15.9,109.2,1.4
ns1644855,3,3/0/0,0.4,386.4,36.0,2.6
ns1760995,3,3/0/0,11.5,79.3,75.3,4.2
ns1830653,3,1/0/2,520.9,17.0,448.1,43.0
ns1952667,0,0/0/0,-,-,-,-
nsrand-ipx,3,3/0/0,37.0,0.1,1.0,0.0
nu25-pr12,3,0/3/0,3.5,0.4,18.6,0.0
nursesched-medium-hint03,3,0/3/0,785.7,18.1,22.6,0.0
nursesched-sprint02,3,0/3/0,55.2,2.8,17.6,0.0
nw04,3,3/0/0,3.9,2.0,9.3,0.0
opm2-z10-s4,3,3/0/0,94.2,26.9,1.0,0.0
opt1217,3,3/0/0,0.0,0.2,47.7,7.2
p200x1188c,3,3/0/0,4.4,0.2,31.0,1.0
p2756,3,0/3/0,82.1,0.1,5.0,0.0
peg-solitaire-a3,2,0/0/2,0.0,710.6,1236.0,7.8
pg,3,3/0/0,2.3,0.3,52.3,15.8
pg5_34,3,3/0/0,1.5,0.4,52.0,10.3
physiciansched3-3,3,2/0/1,30.5,78.8,116.0,4.5
physiciansched6-2,3,0/0/3,3.2,72.8,838.7,23.4
piperout-08,3,0/0/3,86.2,43.7,905.4,34.3
piperout-27,3,0/0/3,60.4,57.6,1087.8,35.5
pk1,3,3/0/0,459.4,0.2,66.8,8.0
pp08a,3,3/0/0,31.9,0.1,19.9,0.0
pp08aCUTS,3,3/0/0,8.8,0.1,20.4,0.0
proteindesign121hz512p9,3,0/3/0,2.4,5.2,22.5,0.0
proteindesign122trx11p8,3,0/3/0,1.1,1.1,4.0,0.0
